Rekkefølge;År;Hovedlokalitet;Hovedlokkode;Sted;Nr;Mnd;Dag;Hab;Art;Populasjon;ArtPop;Vekt;Lengde;Lencm;Lengrcm;Kond;Kjønn;Stadium;Operculum;Alder;ALDOK;AltAld;AldMerkn;Mage;MC;Azygia;Gjeddemakk;Gjellelus;Muskel;SIA;Merknad;FG;Bosmina;Daphnia;Holoped;Bythotrep;Polyph;Leptodora;CyclCop;CalCop;Acantocycl;Littorale småkreps;Linsekreps;Krystallkr;Muslingkr;Marflo;Asell;Damsnegl;Skivesnegl;Gjellesnegl;Ertemusl;Luftins;ChirPup;ChirLarv;VårflPup;VårflLMHus;VårflLUHus;Døgnfll;Steinfll;Muddfll;Stankelbl;Vannbiller;Vannmidd;FiskUid;90pigg;sik;lagesild;UidCoreg;abbor;ørekyte;lake;gjedde;ørret;niøye;Egg;Annet;UidInsL;UidPlankt;Uid;Mageanmerkn;;;;Piscivorous
111;2018;Skrukkebukta;2;SB;1018;9;10;1;2;;2;24,6;136;13,6;13;0,977953898;2;3;+;5;1;6;; +;-;-;-;0;+;-;isotope sample w/muscle sample;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Godt fordøyd.;;;;0
485;2019;Skrukkebukta;2;SB;1014;9;10;1;2;          ;2;27,8;137;13,7;13;1,081142885;2;1;+;5;1;-;usikker, ødelagt;        +;         -;         -;             -;0;              +;              +;;10;;1;;;1;;2;;;;4;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
100;2018;Skrukkebukta;2;SB;1007;9;10;1;2;;2;27,6;141;14,1;14;0,984581665;1;1;+;5;1;-;; +;-;-;-;0;+;-;isotope sample w/muscle sample;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
493;2019;Skrukkebukta;2;SB;1024;9;10;1;2;          ;2;29;141;14,1;14;1,034524213;1;1;+;4;1;5;vanskelig;        +;         -;         -;             -;0;              +;              +;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
588;2019;Skrukkebukta;2;SB;1123;9;11;1;2;          ;2;30;141;14,1;14;1,070197462;1;1;+;5;1;-;;        +;         -;         -;             -;0;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
122;2018;Skrukkebukta;2;SB;1029;9;10;1;2;;2;30,2;142;14,2;14;1,054731484;2;1;+;5;1;-;; +;-;-;-;0;+;-;isotope sample w/muscle sample;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
123;2018;Skrukkebukta;2;SB;1030;9;10;1;2;;2;29,4;142;14,2;14;1,026791577;2;1;+;4;1;-;; +;-;-;-;0;+;-;isotope sample w/muscle sample;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
535;2019;Skrukkebukta;2;SB;1068;9;10;1;2;          ;2;31,6;142;14,2;14;1,103626321;2;1;+;3;1;4;;        +;         -;         -;             -;0;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
95;2018;Skrukkebukta;2;SB;1002;9;10;1;2;;2;33,6;142;14,2;14;1,173476088;2;2;+;4;1;3;mulig 3, ene operc tydelig 4, andre tydelig 3 år; +;-;-;-;1;+;+;;20;;;;;;;;;;;1;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;0
571;2019;Skrukkebukta;2;SB;1106;9;11;1;2;          ;2;34,6;145;14,5;14;1,134937882;1;1;+;5;1;-;;        +;         -;         -;             -;0;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
134;2018;Skrukkebukta;2;SB;1041;9;10;1;2;;2;34,8;148;14,8;14;1,073480347;1;1;+;3;1;-;Veldig vanskelig! Usikker; +;-;-;-;1;+;+;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
992;2020;Skrukkebukta;2;SB;1060;9;11;1;2;-;2;41,1;148;14,8;14;1,267817306;2;1;+;4;1;-;;+;-;-;-;0;+;-;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;1
962;2020;Skrukkebukta;2;SB;1030;9;11;1;2;-;2;37,5;148;14,8;14;1,156767615;2;1;+;2;1;-;ødelagt i kantene;+;-;-;-;2;+;-;;10;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
504;2019;Skrukkebukta;2;SB;1035;9;10;1;2;          ;2;40,4;151;15,1;15;1,173411995;2;1;+;7;1;-;;        +;         -;         -;             -;0;              +;              +;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
480;2019;Skrukkebukta;2;SB;1009;9;10;1;2;          ;2;37,2;151;15,1;15;1,08046847;2;1;+;5;1;-;;        +;         -;         -;             -;0;              +;              +;;40;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;;;rest;;;;0
121;2018;Skrukkebukta;2;SB;1028;9;10;1;2;;2;34,8;152;15,2;15;0,990942557;1;1;+;6;1;-;; +;-;-;-;0;+;+;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
483;2019;Skrukkebukta;2;SB;1012;9;10;1;2;          ;2;36,8;152;15,2;15;1,047893279;2;1;-;-;;-;;        +;         -;         -;             -;0;              +;              +;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
990;2020;Skrukkebukta;2;SB;1058;9;11;1;2;-;2;42,8;152;15,2;15;1,218745444;1;1;+;3;1;-;;+;-;-;-;0;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
587;2019;Skrukkebukta;2;SB;1122;9;11;1;2;          ;2;39,8;153;15,3;15;1,111242338;2;1;+;3;1;-;vanskelig,usikker;        +;         -;         -;             -;0;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
974;2020;Skrukkebukta;2;SB;1042;9;11;1;2;-;2;41,7;153;15,3;15;1,164291596;1;1;+;5;1;4;;+;-;-;-;0;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
527;2019;Skrukkebukta;2;SB;1059;9;10;1;2;          ;2;38,8;153;15,3;15;1,083321676;2;1;+;7;1;8;;        +;         -;         -;             -;0;               -;               -;;15;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;rest;;;;1
133;2018;Skrukkebukta;2;SB;1040;9;10;1;2;;2;37,8;154;15,4;15;1,034974471;1;1;+;5;1;-;; +;-;-;-;0;+;+;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
512;2019;Skrukkebukta;2;SB;1043;9;10;1;2;          ;2;37;154;15,4;15;1,013070249;2;1;+;6;1;7;;        +;         -;         -;             -;1;               -;               -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
945;2020;Skrukkebukta;2;SB;1013;9;11;1;2;-;2;40,5;154;15,4;15;1,108901219;2;1;+;3;1;4;;-;-;-;-;3;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
511;2019;Skrukkebukta;2;SB;1042;9;10;1;2;          ;2;35,8;154;15,4;15;0,980213917;2;1;+;5;1;-;;        +;         -;         -;             -;1;              +;               -;;50;;;;;;;;;;;1;;;;;;;;;;;;;4;;5;;;;;;;;;;;;;;;;;;;40;;;rest;;;;0
108;2018;Skrukkebukta;2;SB;1015;9;10;1;2;;2;43,6;155;15,5;15;1,170823403;2;2;+;6;1;-;; +;-;-;-;0;+;+;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
481;2019;Skrukkebukta;2;SB;1010;9;10;1;2;          ;2;39,2;155;15,5;15;1,052666913;2;1;+;5;1;-;;        +;         -;         -;             -;3;              +;              +;;40;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
965;2020;Skrukkebukta;2;SB;1033;9;11;1;2;-;2;42,5;156;15,6;15;1,119476896;2;2;+;6;1;5;vanskelig;+;-;-;-;0;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
532;2019;Skrukkebukta;2;SB;1065;9;10;1;2;          ;2;42,8;156;15,6;15;1,127379086;1;1;+;6;1;5;;        +;         -;         -;             -;1;               -;               -;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;rest;;;;0
