Locality;Site;NR;YEAR;MONTH;Habitat;ART;VEKT;LENMM;LENCM;Kond;SEX;MATURITY;AGE;Measured Hg weight;Omregnfaktor;MHGWet1;MHGWet2;MHGDry;Log10MHGWet1;Log10MHGDry;FG;Bosmina;Daphnia;Holoped;Bythotrep;Polyph;Leptodora;CyclCop;CalCop;Acantocycl;Littorale småkreps;Linsekreps;Krystallkr;Muslingkr;Marflo;Asell;Damsnegl;Skivesnegl;Gjellesnegl;Ertemusl;Luftins;ChirPup;ChirLarv;VårflPup;VårflLMHus;VårflLUHus;Døgnfll;Steinfll;Muddfll;Stankelbl;Vannbiller;Vannmidd;FiskUid;9pigg;sik;lagesild;UidCoreg;abbor;gjedde;niøye;Annet;UidInsL;UidPlankt;Uid;Mageanmerkn;SIASample ;%C;%N;δ13C;δ15N;SIAanmerkn;Kolonne1
Vaggatem;RB;1162;2018;9;1;2;142;223;22,3;1,280482818;1;1;9;Dry;0,21;65,69760406;0,065697604;0,312845734;1,817549532;-0,504669763;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RB-1162;47,59603333;15,2912;-23,93991255;9,3137395;;
Vaggatem;RB;1163;2018;9;1;2;65,2;171;17,1;1,303944974;1;1;5;Dry;0,21;28,13726349;0,028137263;0,133986969;1,449281858;-0,872937437;60;;;;;;;;;;;40;;;;10;5;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;RB-1163;46,27225086;14,57127835;-25,64881981;8,773002728;;
Vaggatem;RB;1165;2018;9;1;2;52,2;160;16;1,274414063;1;2;5;Dry;0,21;25,73899818;0,025738998;0,122566658;1,410591639;-0,911627655;40;;;;;;;;;;;29;;;;10;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;RB-1165;46,30224252;14,67669767;-27,15911106;9,04071124;;
Vaggatem;RB;1167;2018;9;1;2;80,4;180;18;1,378600823;2;2;6;Dry;0,21;57,37170776;0,057371708;0,273198608;1,758697778;-0,563521517;50;;10;;;;;;;;;34;;;;3;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;RB-1167;46,52810458;14,83623529;-25,10128554;9,205127444;;
Vaggatem;RB;1169;2018;9;1;2;46;149;14,9;1,390589758;2;1;5;Dry;0,21;22,56521553;0,022565216;0,107453407;1,353439486;-0,968779809;60;;;;;;;;;;;40;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RB-1169;44,828125;14,29812162;-23,99788861;8,530738461;;
Vaggatem;RB;1170;2018;9;1;2;244;257;25,7;1,437442418;1;2;12;Dry;0,21;64,32434326;0,064324343;0,306306396;1,808375361;-0,513843934;50;;;;;;;;;;;;;;;25;15;;;;;;;;;;;;;;;;;;;;;;;;10;;;;Planterest;RB-1170;47,8389094;15,14899329;-24,02670652;9,296918;;
Vaggatem;RB;1173;2018;9;1;2;91,6;190;19;1,335471643;2;2;7;Dry;0,21;70,32291687;0,070322917;0,334871033;1,847096876;-0,475122419;60;;;;;;;;;;;32;;;;5;;;;;;;;;2;;;1;;;;;20;;;;;;;;;;;;;RB-1173;46,63650171;14,96081911;-24,85513145;10,2794915;;
Vaggatem;RB;1175;2018;9;1;2;37,2;143;14,3;1,272139763;1;1;3;Dry;0,21;25,67205299;0,025672053;0,122247871;1,409460601;-0,912758694;40;;;;;;;;;;;25;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RB-1175;45,63745819;14,43646154;-26,57549861;9,010000551;;
Vaggatem;RB;1212;2018;9;1;2;389;305;30,5;1,371039867;1;2;13;Dry;0,21;153,7823053;0,153782305;0,732296692;2,186906367;-0,135312928;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Helt fordøyd. Svarte prikker.;RB-1212;46,56697279;15,09986395;-24,77928686;9,7609935;;
Vaggatem;RB;1213;2018;9;1;2;427;315;31,5;1,366143165;1;2;12;Dry;0,21;160,4661603;0,16046616;0,764124573;2,205383461;-0,116835834;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;RB-1213;47,43496599;15,38340136;-24,38486272;10,6277955;;
