Rekkefølge;År;Hovedlokalitet;Hovedlokkode;Sted;Nr;Mnd;Dag;Hab;Art;ArtPop;Vekt;Lengde;Lencm;Lengrcm;Kond;Kjønn;Stadium;Operculum;Alder;ALDOK;AltAld;AldMerkn;Mage;MC;Azygia;Gjeddemakk;Gjellelus;Muskel;SIA;Merknad;FG;Bosmina;Daphnia;Holoped;Bythotrep;Polyph;Leptodora;CyclCop;CalCop;Acantocycl;Littorale småkreps;Linsekreps;Krystallkr;Muslingkr;Marflo;Asell;Damsnegl;Skivesnegl;Gjellesnegl;Ertemusl;Luftins;ChirPup;ChirLarv;VårflPup;VårflLMHus;VårflLUHus;Døgnfll;Steinfll;Muddfll;Stankelbl;Vannbiller;Vannmidd;FiskUid;90pigg;sik;lagesild;UidCoreg;abbor;ørekyte;lake;gjedde;ørret;niøye;Egg;Annet;UidInsL;UidPlankt;Uid;Mageanmerkn;;piscivorous
864;2020;Vaggatem;1;RB;1033;9;7;1;2;2;57,5;164;16,4;16;1,227346613;1;1;       +;;;;;;          -;       -;          -;0;       +;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;2018;Vaggatem;1;RB;1178;9;7;1;2;2;59,2;164;16,4;16;1,390589758;2;1;+;5;1;-;;        +;-;-;-;0;+;+;;60;;;;;;;;;;;40;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
44;2018;Vaggatem;1;RB;1194;9;7;1;2;2;56,6;164;16,4;16;1,457777778;2;2;+;5;1;-;; +;-;-;-;0;+;+;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
42;2018;Vaggatem;1;RB;1192;9;7;1;2;2;62,6;165;16,5;16;1,220740741;1;1;+;6;1;5;;         +;           -;           -;           -;0;              +;         -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
470;2019;Vaggatem;1;RB;1078;9;8;2;2;2;61,8;165;16,5;16;1,126940232;2;1;+;4;1;-;; +;-;-;-;0;+;+;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;Parasitter?;;0
35;2018;Vaggatem;1;RB;1185;9;7;1;2;2;62,6;165;16,5;16;1,298476454;2;2;+;5;1;6;;       +;           -;           -;0;0;        +;         -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
240;2018;Vaggatem;1;TB;34;9;8;1;2;2;64,2;166;16,6;16;1,275974243;2;2;+;5;1;-;;+;-;-;-;0;-;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
439;2019;Vaggatem;1;RB;1047;9;8;1;2;2;62;166;16,6;16;1,221160354;2;1;+;5;1;-;;       +;           -;           -;           -;0;        +;        +;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
27;2018;Vaggatem;1;RB;1177;9;7;1;2;2;65,8;166;16,6;16;1,292349074;2;1;       +;;;;;;          -;       -;          -;2;       +;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
659;2019;Vaggatem;1;TB;1060;9;7;1;2;2;57,2;167;16,7;16;1,363537795;2;2;       +;;;;;;          -;       -;          -;0;       +;1;;40;;;;;;;;;;;5;;;;15;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
